Organization	Launched / Planned network	First launch	Form factor	Field	Funding	Technical and comments	Image
UnSeenLabs	0 / ?	2018	6U	RF spectrum monitoring	?	Satellites outsourced from GomSpace.	
NSLComm (SkyFi)	0 / 60	2018	6U	Internet, IoT / M2M	$9.25+ million	Up to 1 Gbps anywhere in the world with a novel antenna.	
Kaskilo / eightyLEO	0 / 300	2018	Smallsat	IoT / M2M	?	10 Gbps intersatellite laser communication links. Ka-band for ground communications.	
Orbital Micro Systems	0 / 40	2018	3U?	Weather	$0.65 million	Utilizes microwave technology to capture temperature and moisture measurements, refreshed and delivered every 15 minutes.	
Lacuna Space	0 / 32	2018	6U	IoT / M2M	Yes		
Hera Systems	0 / 50	2019	12U	Earth observation	$4.2+ million	Capable of 1-meter resolution with 22-kilogram form factor.	
Hongyan	0 / 320	2018	Satellite	Internet	?	Completion in 2023 in multiple phases to provide global broadband access, voice communications and other services.	
SRT Marine	0 / 6	2019	6U	AIS	?	Scanning technology will enable the detection of vessels without an identification transceiver. Clyde Space will build the spacecraft.	
Reaktor Space	0 / 36	2018	6U	Earth observation, Hyperspectral	?	Hyperspectral constellation for smart agriculture with 100's of spectral bands and 20 m resolution.	
SatRevolution	0 / 66	2018	2U	Earth observation	$0.8 million	Imaging the Earth in 4m resolution through the use of an innovative lens.	
Commsat (Ladybug)	0 / ?	2018	Microsat	IoT / M2M	$16 million		
Aerial & Maritime	0 / ?	2019	3U?	AIS, ADS-B	$12.2 million	Monitoring aircraft (ADS-B) and vessels (AIS) from 37°N to 37°S. GomSpace is shareholder and will develop satellites. Cooperation with Flightradar24.	
Rupercorp	0 / ?	2019	6U	Earth observation	?	"2U CubeSat to be launched in 2018 will be a precursor for the commercial constellation based on NanoAvionics M6P with ""green"" chemical propulsion system."	
Harris	0 / 12	2019	6U	Weather	Yes, ?	Immediate access to 3D wind data sets from Harris-owned HyperCubes. Utah State University provides the spacecraft.	
Earth-i	0 / 15	2019	Microsat	Earth observation	?	First constellation in the world able to provide full-colour video.	
Synspective	0 / 30	2019	Smallsat	Earth observation	$13.6 million	Developing 3kW power amplifiers to realize 1m ground resolution.	
Space Systems Engineering	0 / ?	2019	?	Earth observation	?	Advanced Earth Observation VNIR optical instrument payload.	
Astrome	0 / 150	2019	Microsat	Internet	?	Indian space technology company to provide high speed broadband internet from space.	
Audacy Space	0 / 3	2019	?	Orbital data relay	$11.1 million	3 relay satellites in Medium Earth Orbit (MEO) for continous communication with satellites.	
Cloud Constellation	0 / ?	2019	?	Data storage	Yes	Space-based cloud storage. An array of equatorial low earth orbiting data center satellites. Much more secure and in some cases better-performing. 10-gigabit laser communications links between satellites.	
Transcelestial	0 / ?	2019	CubeSat?	Orbital data relay, Optical comms	$1.8 million	Space data network for terrestrial and satellite applications. Using lasers to transfer data at up to 1000x faster than currently available.	
Dauria / SatByul	0 / 8	2019	6U	Earth observation	?	Perseus-O multispectral constellation. Many similarities to Astro Digital.	
Kleos Space	0 / 20	2019	CubeSat	AIS, Geolocation	?	Radio data collection spacecraft with our patented In-Space Manufacturing technology, a miniature machine that manufactures enormous composite booms used to deploy antenna.	
HyperSat	0 / 6	2020	Smallsat	Earth observation, Hyperspectral	$85 million	Imaging over 200 spectral bands (wavelengths of light) with a sub-10 meter ground sample distance.	
LaserFleet	0 / ?	2020	Microsat	Internet, Optical comms	$2? million	Provide reliable 1 Gbps communication rates to aircraft at altitude. Higher effective data rate at a lower cost than the best-in-class Ku/Ka/V.	
Kineis	0 / 20	2020	16U	IoT / M2M	Yes	Two-way communications and propulsion.	
XpressSAR	0 / 4	2020	?	SAR	?	Small-area spotlight images with resolutions under 1 meter. Four satellites in two orbit planes with a 35° inclination.	
Orora Tech	0 / 100	2021	3U	Weather, IR imaging	?	New patent pending CubeSat framework with high-end imaging sensors to accurately measure both surface temperatures and cloud coverage.	
Methera	0 / 16	2021	Smallsat	Internet	Seed	Working on low-cost terminal design thanks to Innovate UK funding.	
Trident Space (Magna Parva)	0 / 48	2021	Smallsat	SAR	$7 million	Breakthrough compact radar technology and onboard machine learning for automated feature extraction and predictive analytics. Innovative light weight reflector. 300 kg satellites.	
VEOWARE	0 / ?	2021	Satellite	Earth observation	?	Lease satellite time to its customers, providing them with essential imagery capacity.	
Scepter	0 / ?	?	Microsat	Emissions monitoring	?	Air pollution monitoring precise enough to reveal conditions for individual city blocks.	
Astranis	0 / ?	?	Smallsat	Internet	$18 million	Ssmall GEO satellite weighing 300 kg to provide up to 10 Gb/s of bandwidth.	
Umbra Lab	0 / 12	?	Microsat	SAR	Yes	Software defined radar. Groundbreaking power aperture area and launch volume. Range resolution ?0.25m, azimuth resolution ?0.10m.	
EarthNow	0 / 500	?	Microsat	Earth observation	Yes	Continuous real-time video of the Earth enhanced by machine intelligence.	
OQ Technology	0 / ?	?	CubeSat	IoT / M2M		World's first universal plug & play IoT device that can provide connectivity leveraging Low-Earth-Orbit satellite infrastructure.	
Tekever	0 / 12	?	16U	Earth observation, SAR, AIS, ADS-B, IoT / M2M	?	Constellation will carry the same observation and telecom payloads as Infante, but with different payloads on different satellites.	
ArQit	0 / ?	?	CubeSat?	QKD, Optical comms	?	Quantum Key Distribution shared in laser transmissions from a satellite. Qinetiq is contractor for spacecraft.	
NorStar NorthStar	0 / 40	?	Microsat	Earth observation, Hyperspectral	?	First commercial system to combine Hyperspectral and Infrared sensors to observe Earth	
Laser Light	0 / 12	?	Satellite	Optical comms	?	Optical laser comm constellation in MEO as an Internet infrastructure service.	
Koolock	0 / ?	?	CubeSat	Earth observation, IR imaging	?	The most advanced feature set for weather and environmental monitoring.	
Alba Orbital	0 / ?	?	PocketQube	Earth observation	?	First PocketQube constellation.	
Galaktika	0 / ?	?	Microsat	IoT / M2M	?	Pulsar IoT constellation for two-way exchange of data packets at a speed up to 500 bit/sec.	
Myriota	0 / ?	?	CubeSat?	IoT / M2M	$15+ million		
Ubiquitilink	? / ?	?	CubeSat	IoT / M2M	Yes	Leverage nanosatellites in a unique manner to provide connectivity anywhere on the planet.	
Hypercubes	0 / ?	?	CubeSat?	Earth observation, Hyperspectral	?	Track not only the chemical output of factories and farms, but also the movement of machines and equipment.	
Efir	0 / 288	?	Smallsat	Internet	?	Russian constellation in 870 km orbit operational in 2025.	
B612 Foundation	0 / ?	?	Microsat	Asteroid tracking	?	Track smaller, fast-moving asteroids in the range of 140 m to 1 km wide. Built by York Space Systems.	
Planetary Resources	2 / 10	Cancelled	12U	Earth observation	$50+ million	Visible-NIR 40 channel hyperspectral imager with 10 m resolution. Midwave infrared imager (MWIR) in 3-5 ?m with 15 m resolution. Has been deprioritized for asteroid missions.	
Outernet	0 / 200	Cancelled	1U, 3U	Internet	Yes	Broadcast free data from space. Revenue from ads, premium content and hardware sales. Cancelled in 2017 due to lack of launch funding.	
Ursa Space Systems	0 / ?	Cancelled	Microsat	SAR	?	In parallel developing own constellation to provide priority access, superior revisit frequency, improved resolution and direct downlink.	
Earthcube	0 / 10	Cancelled	CubeSat	Earth observation, IR imaging	$4.5+ million	Might use Exotrail thrusters.	
Terran Orbital (Tyvak)	0 / ?	Cancelled	CubeSat	IoT / M2M	Yes	Building a constellation of best-in-class nanosatellites that will form an unprecedented data infrastructure in space.	
ISIS / Innovative Data Services	0 / 16	Cancelled	3U	AIS	?	AIS payload tested on Triton-1 and network planned for a while, but no recent news. ADS-B, M2M and asset tracking also considered.	
Promethean Labs	0 / ?	Cancelled	CubeSat	Emissions monitoring	?	Special imager for measuring greenhouse gas (GHG) emissions, monitoring of water and air quality, forestry and land.	
BitSat (Dunvegan Space Systems)	0 / 24	Cancelled	3U	IoT / M2M, Data storage	?	Providing communications, data processing, storage and broadcasting capabilities in space. Cancelled when fundraising fell through.	
4skies (NovaNano)	0 / ?	Cancelled	Microsat	IoT / M2M	?	Was one of the first in the field, but was not able to raise funding.	
